Pipe IV (m³/m),≤10 m³,11 m³,12 m³,13 m³,14 m³,15 m³,16 m³,17 m³,18 m³,19 m³,20 m³,21 m³,22 m³,23 m³,24 m³,25 m³,26 m³,27 m³,28 m³,29 m³,30 m³,35 m³,40 m³,45 m³,50 m³,55 m³,≥60 m³
≤0.15,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.9,2.0,2.1,2.4,2.8,3.1,3.5,3.9,4.2
>0.15 ≤ 0.2,0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.9,2.1,2.3,2.8,3.0,3.4,3.8,4.1,
>0.2 ≤ 0.25,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.8,2.0,2.2,2.7,2.9,3.2,3.6,3.9
>0.25 ≤ 0.3,-,0.7,0.8,0.9,0.9,0.9,1.0,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.8,2.0,2.1,2.7,2.9,3.2,3.6,3.9
>0.3 ≤ 0.35,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2.0,2.5,2.7,3.0,3.4,3.7
>0.35 ≤ 0.4,0.6,0.7,0.8,0.8,0.8,0.9,1,1.1,1.1,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2.4,2.6,3.0,3.3,3.6
>0.4 ≤ 0.45,0.6,0.7,0.7,0.8,0.8,0.9,1,1.0,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.9,2.0,2.5,2.7,3.0,3.4,3.7
>0.45 ≤ 0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1.0,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.7,1.8,2.0,2.1,2.6,2.8,3.1,3.5,3.8
>0.5 ≤ 0.55,0.6,0.6,0.7,0.8,0.8,0.9,1,1.0,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.9,2.3,2.5,2.9,3.2,3.5
>0.55 ≤ 0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.0,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.9,2.3,2.5,2.9,3.2,3.5
>0.6 ≤ 0.65,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.0,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.9,2.2,2.4,2.8,3.1,3.4
>0.65 ≤ 0.7,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1.0,1.0,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.8,2.0,2.2,2.6,2.9,3.1,
>0.7 ≤ 0.75,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.7,1.9,2.2,2.5,2.8,3.0,
>0.75 ≤ 0.8,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.8,2.1,2.3,2.8,3.0,3.2
>0.8 ≤ 0.85,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.7,1.9,2.2,2.4,2.9,3.1,3.4
>0.85 ≤ 0.9,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,1.0,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.7,1.9,2.2,2.6,2.9,3.1,3.4
>0.9 ≤ 0.95,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.7,2.0,2.2,2.5,2.8,3.0
>0.95 ≤ 1.0,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.7,2.0,2.2,2.5,2.8
